filename,local_image_found,local_image_path,width,height,status
4684_9999952_00000_d_0000297.jpg,true,aerialvg/evaluation90/images/4684_9999952_00000_d_0000297.jpg,1400,788,VERIFIED
3841_0000084_01959_d_0000006.jpg,true,aerialvg/evaluation90/images/3841_0000084_01959_d_0000006.jpg,960,540,VERIFIED
4057_0000087_01140_d_0000004.jpg,true,aerialvg/evaluation90/images/4057_0000087_01140_d_0000004.jpg,960,540,VERIFIED
4042_9999985_00000_d_0000067.jpg,true,aerialvg/evaluation90/images/4042_9999985_00000_d_0000067.jpg,1400,1050,VERIFIED
4686_9999952_00000_d_0000339.jpg,true,aerialvg/evaluation90/images/4686_9999952_00000_d_0000339.jpg,1400,788,VERIFIED
4028_9999937_00000_d_0000077.jpg,true,aerialvg/evaluation90/images/4028_9999937_00000_d_0000077.jpg,1916,1078,VERIFIED
4478_9999982_00000_d_0000170.jpg,true,aerialvg/evaluation90/images/4478_9999982_00000_d_0000170.jpg,1400,1050,VERIFIED
2247_9999998_00033_d_0000026.jpg,true,aerialvg/evaluation90/images/2247_9999998_00033_d_0000026.jpg,2000,1500,VERIFIED
1003_9999973_00000_d_0000089.jpg,true,aerialvg/evaluation90/images/1003_9999973_00000_d_0000089.jpg,1916,1078,VERIFIED
2340_9999940_00000_d_0000022.jpg,true,aerialvg/evaluation90/images/2340_9999940_00000_d_0000022.jpg,1400,788,VERIFIED
4644_9999984_00000_d_0000030.jpg,true,aerialvg/evaluation90/images/4644_9999984_00000_d_0000030.jpg,1400,1050,VERIFIED
3287_0000290_02801_d_0000861.jpg,true,aerialvg/evaluation90/images/3287_0000290_02801_d_0000861.jpg,1360,765,VERIFIED
2234_9999951_00000_d_0000021.jpg,true,aerialvg/evaluation90/images/2234_9999951_00000_d_0000021.jpg,1400,788,VERIFIED
517_0000198_01022_d_0000158.jpg,true,aerialvg/evaluation90/images/517_0000198_01022_d_0000158.jpg,960,540,VERIFIED
4203_0000084_00281_d_0000002.jpg,true,aerialvg/evaluation90/images/4203_0000084_00281_d_0000002.jpg,960,540,VERIFIED
1116_9999998_00415_d_0000367.jpg,true,aerialvg/evaluation90/images/1116_9999998_00415_d_0000367.jpg,2000,1500,VERIFIED
2363_9999965_00000_d_0000060.jpg,true,aerialvg/evaluation90/images/2363_9999965_00000_d_0000060.jpg,1400,788,VERIFIED
514_0000026_03000_d_0000030.jpg,true,aerialvg/evaluation90/images/514_0000026_03000_d_0000030.jpg,1360,765,VERIFIED
4824_0000137_00960_d_0000160.jpg,true,aerialvg/evaluation90/images/4824_0000137_00960_d_0000160.jpg,1920,1080,VERIFIED
2756_0000123_01819_d_0000120.jpg,true,aerialvg/evaluation90/images/2756_0000123_01819_d_0000120.jpg,1920,1080,VERIFIED
4562_9999938_00000_d_0000068.jpg,true,aerialvg/evaluation90/images/4562_9999938_00000_d_0000068.jpg,1400,788,VERIFIED
2636_9999965_00000_d_0000048.jpg,true,aerialvg/evaluation90/images/2636_9999965_00000_d_0000048.jpg,1400,788,VERIFIED
4077_0000226_04986_d_0000018.jpg,true,aerialvg/evaluation90/images/4077_0000226_04986_d_0000018.jpg,1920,1080,VERIFIED
2107_9999938_00000_d_0000237.jpg,true,aerialvg/evaluation90/images/2107_9999938_00000_d_0000237.jpg,1400,788,VERIFIED
4557_9999952_00000_d_0000327.jpg,true,aerialvg/evaluation90/images/4557_9999952_00000_d_0000327.jpg,1400,788,VERIFIED
3552_9999972_00000_d_0000021.jpg,true,aerialvg/evaluation90/images/3552_9999972_00000_d_0000021.jpg,1916,1078,VERIFIED
3553_9999960_00000_d_0000069.jpg,true,aerialvg/evaluation90/images/3553_9999960_00000_d_0000069.jpg,1400,1050,VERIFIED
3571_9999982_00000_d_0000138.jpg,true,aerialvg/evaluation90/images/3571_9999982_00000_d_0000138.jpg,1400,1050,VERIFIED
1931_9999938_00000_d_0000056.jpg,true,aerialvg/evaluation90/images/1931_9999938_00000_d_0000056.jpg,1400,788,VERIFIED
4948_0000348_06077_d_0000437.jpg,true,aerialvg/evaluation90/images/4948_0000348_06077_d_0000437.jpg,1360,765,VERIFIED
4310_9999955_00000_d_0000038.jpg,true,aerialvg/evaluation90/images/4310_9999955_00000_d_0000038.jpg,1400,788,PENDING
4785_9999951_00000_d_0000036.jpg,true,aerialvg/evaluation90/images/4785_9999951_00000_d_0000036.jpg,1400,788,PENDING
2927_9999938_00000_d_0000430.jpg,true,aerialvg/evaluation90/images/2927_9999938_00000_d_0000430.jpg,1400,788,PENDING
3477_9999937_00000_d_0000052.jpg,true,aerialvg/evaluation90/images/3477_9999937_00000_d_0000052.jpg,1916,1078,PENDING
869_9999999_00492_d_0000219.jpg,true,aerialvg/evaluation90/images/869_9999999_00492_d_0000219.jpg,2000,1500,PENDING
1386_9999955_00000_d_0000123.jpg,true,aerialvg/evaluation90/images/1386_9999955_00000_d_0000123.jpg,1400,788,PENDING
2726_9999990_00000_d_0000046.jpg,true,aerialvg/evaluation90/images/2726_9999990_00000_d_0000046.jpg,1400,1050,PENDING
385_9999966_00000_d_0000113.jpg,true,aerialvg/evaluation90/images/385_9999966_00000_d_0000113.jpg,1400,1050,PENDING
4032_9999951_00000_d_0000269.jpg,true,aerialvg/evaluation90/images/4032_9999951_00000_d_0000269.jpg,1400,788,PENDING
1005_9999973_00000_d_0000150.jpg,true,aerialvg/evaluation90/images/1005_9999973_00000_d_0000150.jpg,1916,1078,PENDING
4775_9999975_00000_d_0000014.jpg,true,aerialvg/evaluation90/images/4775_9999975_00000_d_0000014.jpg,1400,1050,PENDING
1418_9999938_00000_d_0000179.jpg,true,aerialvg/evaluation90/images/1418_9999938_00000_d_0000179.jpg,1400,788,PENDING
2592_0000313_03601_d_0000454.jpg,true,aerialvg/evaluation90/images/2592_0000313_03601_d_0000454.jpg,1360,765,PENDING
2880_9999938_00000_d_0000106.jpg,true,aerialvg/evaluation90/images/2880_9999938_00000_d_0000106.jpg,1400,788,PENDING
3796_9999937_00000_d_0000045.jpg,true,aerialvg/evaluation90/images/3796_9999937_00000_d_0000045.jpg,1916,1078,PENDING
4280_0000280_03001_d_0000627.jpg,true,aerialvg/evaluation90/images/4280_0000280_03001_d_0000627.jpg,1360,765,PENDING
1466_0000363_01569_d_0000791.jpg,true,aerialvg/evaluation90/images/1466_0000363_01569_d_0000791.jpg,960,540,PENDING
1475_9999938_00000_d_0000194.jpg,true,aerialvg/evaluation90/images/1475_9999938_00000_d_0000194.jpg,1400,788,PENDING
1545_0000205_01275_d_0000199.jpg,true,aerialvg/evaluation90/images/1545_0000205_01275_d_0000199.jpg,960,540,PENDING
2346_0000300_01001_d_0000143.jpg,true,aerialvg/evaluation90/images/2346_0000300_01001_d_0000143.jpg,1360,765,PENDING
526_9999938_00000_d_0000489.jpg,true,aerialvg/evaluation90/images/526_9999938_00000_d_0000489.jpg,1400,788,PENDING
624_9999952_00000_d_0000155.jpg,true,aerialvg/evaluation90/images/624_9999952_00000_d_0000155.jpg,1400,788,PENDING
2031_9999965_00000_d_0000044.jpg,true,aerialvg/evaluation90/images/2031_9999965_00000_d_0000044.jpg,1400,788,PENDING
4552_0000190_00023_d_0000201.jpg,true,aerialvg/evaluation90/images/4552_0000190_00023_d_0000201.jpg,960,540,PENDING
522_9999953_00000_d_0000064.jpg,true,aerialvg/evaluation90/images/522_9999953_00000_d_0000064.jpg,1400,788,PENDING
653_9999953_00000_d_0000209.jpg,true,aerialvg/evaluation90/images/653_9999953_00000_d_0000209.jpg,1400,788,PENDING
4397_9999984_00000_d_0000146.jpg,true,aerialvg/evaluation90/images/4397_9999984_00000_d_0000146.jpg,1400,1050,PENDING
2098_0000213_02965_d_0000241.jpg,true,aerialvg/evaluation90/images/2098_0000213_02965_d_0000241.jpg,1360,765,PENDING
2854_9999940_00000_d_0000028.jpg,true,aerialvg/evaluation90/images/2854_9999940_00000_d_0000028.jpg,1400,788,PENDING
3286_9999998_00434_d_0000386.jpg,true,aerialvg/evaluation90/images/3286_9999998_00434_d_0000386.jpg,2000,1500,PENDING
2846_0000122_01200_d_0000119.jpg,true,aerialvg/evaluation90/images/2846_0000122_01200_d_0000119.jpg,1920,1080,PENDING
524_9999938_00000_d_0000508.jpg,true,aerialvg/evaluation90/images/524_9999938_00000_d_0000508.jpg,1400,788,PENDING
2773_9999962_00000_d_0000135.jpg,true,aerialvg/evaluation90/images/2773_9999962_00000_d_0000135.jpg,1400,1050,PENDING
2800_0000295_01200_d_0000027.jpg,true,aerialvg/evaluation90/images/2800_0000295_01200_d_0000027.jpg,1360,765,PENDING
2825_9999990_00000_d_0000036.jpg,true,aerialvg/evaluation90/images/2825_9999990_00000_d_0000036.jpg,1400,1050,PENDING
2844_0000143_01681_d_0000056.jpg,true,aerialvg/evaluation90/images/2844_0000143_01681_d_0000056.jpg,1920,1080,PENDING
3593_0000307_06201_d_0000299.jpg,true,aerialvg/evaluation90/images/3593_0000307_06201_d_0000299.jpg,1360,765,PENDING
3673_9999937_00000_d_0000058.jpg,true,aerialvg/evaluation90/images/3673_9999937_00000_d_0000058.jpg,1916,1078,PENDING
4983_9999938_00000_d_0000117.jpg,true,aerialvg/evaluation90/images/4983_9999938_00000_d_0000117.jpg,1400,788,PENDING
511_9999937_00000_d_0000174.jpg,true,aerialvg/evaluation90/images/511_9999937_00000_d_0000174.jpg,1916,1078,PENDING
1808_9999938_00000_d_0000299.jpg,true,aerialvg/evaluation90/images/1808_9999938_00000_d_0000299.jpg,1400,788,PENDING
2758_9999937_00000_d_0000127.jpg,true,aerialvg/evaluation90/images/2758_9999937_00000_d_0000127.jpg,1916,1078,PENDING
3999_0000355_00000_d_0000206.jpg,true,aerialvg/evaluation90/images/3999_0000355_00000_d_0000206.jpg,1360,765,PENDING
2681_0000265_03000_d_0000007.jpg,true,aerialvg/evaluation90/images/2681_0000265_03000_d_0000007.jpg,1360,765,PENDING
4752_0000271_05801_d_0000401.jpg,true,aerialvg/evaluation90/images/4752_0000271_05801_d_0000401.jpg,1360,765,PENDING
3816_0000134_00858_d_0000145.jpg,true,aerialvg/evaluation90/images/3816_0000134_00858_d_0000145.jpg,1920,1080,PENDING
1902_9999955_00000_d_0000102.jpg,true,aerialvg/evaluation90/images/1902_9999955_00000_d_0000102.jpg,1400,788,PENDING
4697_0000272_05500_d_0000012.jpg,true,aerialvg/evaluation90/images/4697_0000272_05500_d_0000012.jpg,1360,765,PENDING
1317_9999955_00000_d_0000327.jpg,true,aerialvg/evaluation90/images/1317_9999955_00000_d_0000327.jpg,1400,788,PENDING
2649_0000125_00084_d_0000122.jpg,true,aerialvg/evaluation90/images/2649_0000125_00084_d_0000122.jpg,1920,1080,PENDING
3808_9999937_00000_d_0000103.jpg,true,aerialvg/evaluation90/images/3808_9999937_00000_d_0000103.jpg,1916,1078,PENDING
2808_9999937_00000_d_0000145.jpg,true,aerialvg/evaluation90/images/2808_9999937_00000_d_0000145.jpg,1916,1078,PENDING
2965_9999951_00000_d_0000217.jpg,true,aerialvg/evaluation90/images/2965_9999951_00000_d_0000217.jpg,1400,788,PENDING
3880_9999994_00000_d_0000048.jpg,true,aerialvg/evaluation90/images/3880_9999994_00000_d_0000048.jpg,1400,1050,PENDING
1346_9999952_00000_d_0000231.jpg,true,aerialvg/evaluation90/images/1346_9999952_00000_d_0000231.jpg,1400,788,PENDING
397_9999938_00000_d_0000466.jpg,true,aerialvg/evaluation90/images/397_9999938_00000_d_0000466.jpg,1400,788,PENDING
4483_9999989_00000_d_0000011.jpg,true,aerialvg/evaluation90/images/4483_9999989_00000_d_0000011.jpg,1400,1050,PENDING
1254_9999940_00000_d_0000070.jpg,true,aerialvg/evaluation90/images/1254_9999940_00000_d_0000070.jpg,1400,788,PENDING
1900_9999984_00000_d_0000075.jpg,true,aerialvg/evaluation90/images/1900_9999984_00000_d_0000075.jpg,1400,1050,PENDING
263_9999974_00000_d_0000021.jpg,true,aerialvg/evaluation90/images/263_9999974_00000_d_0000021.jpg,1916,1078,PENDING
